"Service","EC2-Instances($)","CloudWatch($)","EC2-Other($)","Total costs($)"
"Service total","4747.638258544","31.1241663631","20.627186113","4799.3896110201"
"2026-04-01","141.53836836","0.9670833241","0.6260035717","143.1314552558"
"2026-04-02","146.45596426","0.9591666576","0.6534928729","148.0686237905"
"2026-04-03","135.6113441","0.9274999914","0.6528155433","137.1916596347"
"2026-04-04","157.661996128","1.045833323","0.7188954937","159.4267249447"
"2026-04-05","158.181043804","1.0654166563","0.8346718003","160.0811322606"
"2026-04-06","123.240578132","0.875833325","0.6076708447","124.7240823017"
"2026-04-07","180.185553964","1.1558333219","0.7081197421","182.049507028"
"2026-04-08","183.436390752","1.1658333218","0.7203528461","185.3225769199"
"2026-04-09","137.34141918","0.8770833247","0.7169683986","138.9354709033"
"2026-04-10","146.742995216","1.0004166574","0.6566982142","148.4001100876"
"2026-04-11","169.677022688","1.1312499889","0.7033305423","171.5116032192"
"2026-04-12","198.37271836","1.2945833204","0.9034467691","200.5707484495"
"2026-04-13","169.043418656","1.0999999894","0.5203489555","170.6637676009"
"2026-04-14","131.71133262","0.8554166584","0.577262556","133.1440118344"
"2026-04-15","288.119945376","1.8658333147","0.9264848656","290.9122635563"
"2026-04-16","155.808925672","1.0149999902","0.6708459214","157.4947715836"
"2026-04-17","107.039078724","0.7233333265","0.3918504908","108.1542625413"
"2026-04-18","134.234828588","0.8966666577","0.7602104273","135.891705673"
"2026-04-19","219.74609672","1.4212499859","0.900968142","222.0683148479"
"2026-04-20","119.982317836","0.7733333257","0.4985083818","121.2541595435"
"2026-04-21","148.931863212","0.9445833239","0.6239951461","150.500441682"
"2026-04-22","161.156347768","1.0462499898","0.6342646548","162.8368624126"
"2026-04-23","127.835617972","0.8620833253","0.5843792102","129.2820805075"
"2026-04-24","128.94403098","0.8504166585","0.5071584818","130.3016061203"
"2026-04-25","164.955051708","1.0795833225","0.7636301117","166.7982651422"
"2026-04-26","162.257909476","1.0554166565","0.7931608277","164.1064869602"
"2026-04-27","136.627472324","0.8708333247","0.5427389172","138.0410445659"
"2026-04-28","153.85498574","0.9862499903","0.6658286365","155.5070643668"
"2026-04-29","203.311855376","1.3129166537","0.914827407","205.5395994367"
"2026-04-30","155.631784852","0.9991666569","0.8482563406","157.4792078495"
