"Service","EC2-Other($)","EC2-Instances($)","End User Messaging($)","S3($)","Tax($)","Savings Plans for  Compute usage($)","Redshift($)","CloudWatch($)","QuickSight($)","GuardDuty($)","Amazon Elastic Load Balancing($)","VPC($)","Backup($)","Glue($)","Transfer Family($)","DynamoDB($)","Amazon Elastic Container Service for Kubernetes($)","Config($)","Kinesis Firehose($)","Athena($)","ElastiCache($)","Security Hub($)","Key Management Service($)","SQS($)","Lambda($)","Claude Sonnet 4.6 (Amazon Bedrock Edition)($)","Secrets Manager($)","Amazon EC2 Container Registry (ECR)($)","Cost Explorer($)","CloudWatch Events($)","Systems Manager($)","SNS($)","Step Functions($)","AWS CloudShell($)","AWS Certificate Manager($)","CloudFormation($)","CloudTrail($)","Route 53($)","Total costs($)"
"Service total","7649.9017806398","5392.8803659825","4961.91","4710.4153365444","4266.6","3600","2532.54819705","2219.1707254828","1726.9648696345","1439.15207323","1409.58101449","1049.3241734373","987.3499865375","315.8136148912","216.4470160783","164.6074955668","144","121.7789","99.4832552291","47.55384","43.92","37.97263","25.7393247587","13.0828299134","11.3457846889","9.6012345","2.07643016","1.112783157","0.78","0.282905","0.015927","0.0145534685","0.0000357875","0.000000427","","","","","43201.4270836552"
"2026-04-01","283.716564646","204.2536364567","228.87","152.4555921554","4266.6","120","84.407195271","70.5408433616","56.5885038528","80.9076560712","58.3406194346","46.3979173471","32.3939442145","4.186287","7.2","7.4863509128","4.8","3.919","4.9349079131","1.772514","1.464","1.20736","0.8755916736","0.4788072","0.2485916164","0.4556178","0.069216672","0.036863736","0.06","0.008758","0.000039","0.0000933181","0.0000014158","","","","","","5724.6764730687"
"2026-04-02","236.941630118","210.8429631562","168.78","138.3892900229","","120","83.567684639","81.0861562398","56.5885038528","50.3739730722","53.6011263011","42.3816570255","33.2385539321","8.92121274","7.2930918154","5.5866267876","4.8","3.4296","3.2382226871","4.385952","1.464","1.49508","0.8778626736","0.4451325537","0.2795220322","0.95436","0.068896672","0.036863736","0.09","0.009726","","0.0005525667","0.0000009448","","","","","","1319.1682415687"
"2026-04-03","228.3207810795","199.0060749854","125.79","139.6479294482","","120","84.272972791","45.7275217216","56.5885038528","52.6595928316","41.3069380617","31.8657945189","33.2558740931","7.01051628","7.2","3.9533448505","4.8","4.4096","2.3088948302","0.079245","1.464","1.3366","0.8784146736","0.3766457338","0.2795481367","","0.069246672","0.036863736","","0.008443","","0.0004441485","0.0000009722","","","","","","1192.6537914173"
"2026-04-04","240.4870251671","230.0433920158","116.91","136.5173517942","","120","84.256394241","46.0215258576","56.5885038528","46.1320271303","41.0050164064","30.6445373332","33.1289410929","7.4529425573","7.2","3.9563079123","4.8","4.2966","2.3178860704","","1.464","1.70181","0.8782196736","0.3643917339","0.3067982161","","0.069166672","0.036863736","","0.009634","","0.0003845538","0.0000009565","","","","","","1216.5897209732"
"2026-04-05","241.8679968636","229.8855564925","98.34","136.2490317056","","120","84.339546649","40.5961733814","56.5885038528","43.9400974502","37.5408283819","26.5213181228","33.2814286974","8.0889840065","7.2","2.8843287877","4.8","4.7816","1.694024686","0.00045","1.464","1.61094","0.8807846736","0.3276654296","0.3555542589","","0.069746672","0.036863736","","0.009569","","0.0003620191","0.0000023576","","","","","","1183.3553572242"
"2026-04-06","244.2631912526","182.241916786","183.33","142.0071139888","","120","84.427458363","71.2293501569","56.6032639128","46.3427033671","62.1879441804","49.0750505264","33.287041179","14.174428657","7.2","6.1166010689","4.8","4.5356","3.5123192124","2.345058","1.464","1.40986","0.8776886736","0.475424101","0.3083949825","0.4316301","0.068996672","0.036863736","0.02","0.009696","","0.0005553126","0.0000009714","","","","","","1322.7821512004"
"2026-04-07","259.6651770752","251.786220944","242.34","142.0597436426","","120","84.333569795","70.9670100531","56.6153449965","57.6129938396","74.1017633156","58.3250164834","33.1471970444","10.0915513155","7.2","7.3141135064","4.8","5.1665","4.1714753001","0.451368","1.464","1.51881","0.8794136736","0.5436474725","0.384463083","0.4089327","0.069476672","0.036863736","0.02","0.009958","0.000078","0.0007249466","0.0000018732","","","","","","1495.4854154683"
"2026-04-08","295.0433693442","259.6462379854","242.34","151.4901069331","","120","84.616548702","72.5047087305","56.6262069464","79.0047268642","72.0186733802","55.4833443548","32.3611603619","13.889006851","7.2","7.7982772253","4.8","4.851","4.5467850212","0.209826","1.464","1.53223","0.8795486736","0.5404097009","0.3718786146","0.1880571","0.069401672","0.036863736","0.01","0.010173","","0.0007088717","0.0000009836","","","","","","1569.5332510526"
"2026-04-09","252.4370747917","202.0750688284","276.48","140.2788317432","","120","83.748060619","69.9047557498","56.6464767484","65.3706172205","67.2312137804","51.7731173664","33.1819699429","6.1680879958","7.2881947323","7.3812901623","4.8","4.1335","4.403787715","0.033183","1.464","1.29412","0.8789486736","0.5185742297","0.3711904509","0.1824801","0.069411672","0.036863736","0.03","0.009985","","0.0008240272","0.0000023321","","","","","","1458.1916306176"
