"Service","EC2-Other($)","End User Messaging($)","EC2-Instances($)","Tax($)","S3($)","Savings Plans for  Compute usage($)","GuardDuty($)","Redshift($)","CloudWatch($)","QuickSight($)","Amazon Elastic Load Balancing($)","Glue($)","VPC($)","Backup($)","Transfer Family($)","Athena($)","DynamoDB($)","Amazon Elastic Container Service for Kubernetes($)","Config($)","Kinesis Firehose($)","ElastiCache($)","Security Hub($)","Claude Sonnet 4.6 (Amazon Bedrock Edition)($)","Key Management Service($)","Lambda($)","SQS($)","Secrets Manager($)","Amazon EC2 Container Registry (ECR)($)","Cost Explorer($)","CloudWatch Events($)","SNS($)","Systems Manager($)","Step Functions($)","AWS CloudShell($)","CloudFormation($)","CloudTrail($)","Route 53($)","Total costs($)"
"Service total","8689.8052891509","7784.07","5577.4029215363","5131.86","4440.8258511851","3720","3698.164153926","2630.274238762","2184.7082139812","1785.624882688","1371.8998174163","1253.0890117143","965.79993325","934.0428623191","223.7350827587","203.370534","177.0220562447","148.8","136.7048","92.7693288099","45.384","42.77329","26.7954357","25.393526912","17.5467380255","17.502934724","2.084359968","1.1420127355","1.01","0.309844","0.0317593836","0.015459","0.0000486597","0.0000001161","","","","51329.9583869669"
"2026-05-01","240.2446470854","192.51","190.9922018962","5131.86","98.8820037889","120","88.1578586552","85.194527858","51.5468667941","56.8715981108","38.085157302","15.5729847","27.4724332256","31.5236743488","7.2","0.794421","4.5509131579","4.8","4.072","2.3883866627","1.464","1.306","","0.816444514","0.3801726298","0.5175106271","0.067181128","0.0360051216","","0.008878","0.0000992985","","0.0000014282","","","","","6397.3159673328"
"2026-05-02","236.3884254401","182.1","141.2012207378","","96.5616265357","120","87.6397563212","84.609156873","51.2798400264","56.9242602758","36.4692889782","15.20999769","26.6920554881","31.3306089474","7.2","0.372852","4.5403403144","4.8","5.6228","2.3777537708","1.464","1.92865","","0.816327514","0.4179000738","0.4983693805","0.066941128","0.0360051216","","0.01059","0.0006022374","","0.0000009579","","","","","1196.5593698121"
"2026-05-03","234.8856975287","143.85","218.3589731519","","94.1547804364","120","82.9789021401","84.550141634","46.2339328332","56.9461499516","31.6705658229","14.79705024","22.6944673316","31.2867336911","7.2","0.348381","3.3940025327","4.8","4.8528","1.8722661667","1.464","1.62731","","0.8199216","0.4168878901","0.4283157805","0.067441128","0.0360051216","","0.01005","0.0005109071","","0.0000014553","","","","","1209.7452883435"
"2026-05-04","236.1029430224","263.01","136.3991474284","","126.5004279295","120","160.4078170637","84.527638395","58.6258783428","57.0007577146","47.9964811888","15.9125965021","37.7025815635","31.0999589949","7.2","4.347495","6.0882825639","4.8","4.3656","3.0722501779","1.464","1.60896","0.3195654","0.8182026","0.4161240559","0.6794275204","0.067126128","0.0360051216","0.02","0.010007","0.0007741233","","0.0000009714","","","","","1410.6000488081"
"2026-05-05","266.9435666047","495.36","171.9843059718","","167.4643664831","120","277.8800900695","84.584693192","84.3290142625","57.0481034349","58.9735652203","36.3240419412","43.9600758475","30.9075607571","7.2","18.823725","7.4919750637","4.8","4.7026","3.6633160376","1.464","1.7863","0.2566806","0.8179716","0.6754182253","0.8171688581","0.067096128","0.0362085276","0.06","0.009843","0.001352027","","0.0000005128","","","","","1948.4330393647"
"2026-05-06","301.8429467789","493.44","184.961134434","","131.3748970935","120","154.6226976617","85.013913712","68.7877205098","57.0838042938","55.864129614","27.2965607665","41.8745934162","29.9305651625","7.2","16.616259","7.313322439","4.8","4.9528","3.6182019386","1.464","1.70986","1.8261705","0.8182506","0.5960305789","0.7813409439","0.067111128","0.0364097592","0.1","0.010229","0.0013512238","","0.0000064953","","","","","1804.0043070496"
"2026-05-07","275.5169524864","368.49","170.2828680318","","172.731896547","120","148.0146726297","84.464480395","140.2041507429","57.1181225352","59.4024264316","34.9295581436","44.6167571339","30.5598271532","7.2888794467","26.630244","7.6295228141","4.8","4.9165","3.7234620936","1.464","1.52699","0.2396988","0.8184606","0.7525025565","0.810847258","0.067166128","0.0364097592","0.03","0.010547","0.001041331","0.000039","0.000000529","","","","","1767.0780235464"
"2026-05-08","252.3219167786","338.7","168.5941893749","","175.748595929","120","149.9495974809","85.563300623","128.2360755393","57.1357410234","55.6782091561","64.1568762765","42.8503302466","30.3930277919","7.2888794467","7.571178","7.2977984704","4.8","3.9695","3.6061651843","1.464","1.27367","1.2323949","0.8193096","0.5494473835","0.7604798081","0.067456128","0.0364249547","0.02","0.009219","0.0009892148","","0.0000068382","","","","","1710.0947791489"
"2026-05-09","259.7858421774","310.11","128.6959956378","","97.244798046","120","45.6385512119","84.722119441","55.6451478249","57.1552287629","50.2652384912","9.3320897026","37.9883188304","30.18123111","7.2","0.877734","6.3207798453","4.8","3.7625","3.0993518921","1.464","1.35705","1.2030612","0.8195556","0.6127597868","0.7095917438","0.067511128","0.0365460648","","0.009643","0.0009155873","0.000039","0.0000014422","","","","","1319.1056015264"
"2026-05-10","256.2761262531","170.97","160.4389593602","","96.5730708988","120","48.0670237498","84.898017375","44.2438999069","57.1858013098","36.6683114087","9.8478109506","26.2186175431","30.1312384789","7.2","0.83079","3.9392558138","4.8","3.7185","2.0213030015","1.464","1.12183","1.0566633","0.8180376","0.4795433642","0.475527658","0.066971128","0.0365460648","","0.009225","0.0005481061","0.000039","0.000000973","","","","","1169.5576582443"
"2026-05-11","266.6729792246","330.57","141.5571576461","","97.0700191192","120","50.0556650314","84.695469254","66.2951154315","57.3017974744","57.0360937816","17.4866292451","44.0795466763","30.2418939374","7.2","1.710702","7.3132945016","4.8","4.2055","3.6133953249","1.464","1.1736","1.0806312","0.8188566","0.5193511267","0.7569665438","0.067311128","0.0365460648","0.02","0.009144","0.0009519068","0.000039","0.0000014422","","","","","1397.8526576604"
"2026-05-12","298.8096780582","415.68","109.7612858127","","107.4764227618","120","42.9991823982","84.96120023","68.455165706","57.444799617","60.7456740587","12.8769442326","44.7627381011","30.3613732689","7.2","0.972144","8.0830873765","4.8","3.542","4.3954611249","1.464","1.36043","1.0226733","0.8184966","0.7739474329","0.7490053009","0.067241128","0.0365460648","0.02","0.009331","0.0011615885","","0.0000009845","0.0000001161","","","","1489.6499902623"
"2026-05-13","290.7872229881","292.38","147.7949867292","","137.6869848118","120","104.5399500824","85.221140635","71.9676118716","57.4600803518","51.785067958","48.1774181966","38.000110017","29.6599941229","7.2","1.471257","7.0749805952","4.8","4.0683","4.2549435075","1.464","1.30624","0.5628216","0.8176776","0.6418957278","0.640106458","0.067016128","0.0365460648","0.02","0.009494","0.0008384923","0.012099","0.0000005153","","","","","1509.9087844533"
"2026-05-14","274.4914967883","261.24","115.5819037023","","132.195412702","120","91.4169716687","84.958204441","88.3686951071","57.4941639701","41.9354807781","26.6049434194","31.399782345","29.8270075881","7.2890899071","2.656566","6.8509315013","4.8","4.5207","3.8646268823","1.464","1.45739","1.3612071","0.8195316","0.4362266548","0.6105295155","0.067126128","0.0365460648","0.12","0.01022","0.0007818126","","0.0000009714","","","","","1391.8795366479"
"2026-05-15","261.4326529295","278.73","140.1004990542","","162.0700691139","120","144.2725265213","84.670311834","68.1850083598","57.5382816228","41.6458117549","49.2120095314","31.7837406748","29.8526154459","7.2","24.680763","6.4911160016","4.8","3.2781","3.519351344","1.464","1.11246","1.6566561","0.8195916","0.3869109827","0.642217169","0.067116128","0.0365460648","0.16","0.009787","0.0008147981","","0.0000009705","","","","","1525.8189580012"
"2026-05-16","269.3770354324","214.89","72.0012970777","","109.4525306928","120","62.3042472892","84.533524565","51.8030206886","57.570338141","34.5955710401","17.2420656995","25.1076306849","29.8363850008","7.2","0.520488","4.9685580642","4.8","3.3965","2.5996246072","1.464","1.2147","0.7441104","0.8191356","0.3863924528","0.511679658","0.067231128","0.0365460648","","0.008334","0.0006595653","0.000039","0.0000009867","","","","","1177.451645839"
